film_title,category,plot
Yaman Tilki,"Macera, Animasyon, Komedi, Aile","Mr. Fox ailesini beslemek için her akşam üç zengin çiftçiden tavuk, ördek ve hindi çalmaktadır. Sinirli çiftçiler tilkiden artık bıkmışlardır ve onu öldürmek için ellerinden gelen herşeyi yapmaktadırlar. Sonunda yakalanan tilki, çiftçilerden daha zeki davranarak yakalandığı yerden aç kalmamak için çıkmaya çalışır."
Fare Şehri,"Macera, Animasyon, Komedi, Aile","Roddy, Londra’da son derece lüks bir evde, refah içinde bir hayat sürmektedir. Uzun zaman, kendisine hizmet eden görevlilerin çemberinde şaşalı bir yaşamı olmuştur ki bunun aksi bir durumu hayal bile edemez. Ancak hayat bazen sürprizlerle doludur. Ansızın mutfaktaki levyeden fırlayan bir lağım faresi olan Sid, hayatını alt üst edecektir. O, şimdi bu lüks hayatı yaşamak için sıranın kendisinde olduğundan emindir. Bu iki karakter birbileri ile savaşırlarken Roddy bir anda yenilir ve Fare Şehri’nde bulur kendisini. Orada kurtulup eve geri dönmek esas maceranın ta kendisi olacaktır."
Korku Kapanı 5: Kanlı Parti,"Korku, Gerilim",West Virginia'nın küçük bir kasabasında Cadılar Bayramı'nda efsanevi Mountain Man Festivali düzenlenmektedir. Kostümlü festivale katılanlar müzik ve eğlenceyle dolu bir gece geçirirler. Ama doğuştan yamyam olan ve ormanda yaşayan bir aile festivale gelmiş olan bir grup üniversite öğrencisini gözüne kestirince eğlenceyi sonlandırırlar.
Takip: İstanbul,"Aksiyon, Suç, Gerilim","İlk filmde Bryan Mills'ın kızını kaçıran ve yine Mills tarafından öldürülen çetenin baş elemanının babası, bu sefer intikam için emekli CIA ajanının İstanbul'da tatil yapan karısını kaçırır. Kızının peşinde olduklarını anlayan Bryan Mills, bu sefer kızının yardımıyla ailesine zarar vermek isteyenleri birer birer avlama yoluna gider."
Kasırga,"Aksiyon, Macera, Dram","Güzel ve cesur Jo tarafından yönetilen bir fırtına araştırma ekibi, Amerika'nın çeşitli yerlerinde sürekli meydana gelen ani hortum ve kasırgaların nedenlerini araştırmakta ve insanları önceden uyaracak sistemler geliştirmektedir. Grubun eski üyelerinden Bill, bu heyecanlı kovalamacadan çekilmiş ve eski aşkı Jo'nun tam zıttı bir kadınla evlenmek üzeredir.Bill'in icadı olan ve grubun Dorotyh adını verdiği içi hassas algılayıcılarla dolu bir tankın hortumun içine bırakılması gerekmektedir. Grup bunun için Bill'in de yardımını ister. Jo, Bill ve grubun diğer üyeleri, canlarını tehlikeye atarak bir fırtınaya sokularak görevlerini başarmak için ellerinden geleni yaparlar."
Jungle Cruise,"Fantastik, Macera","Espirili kaptan Frank Wolff (Johnson) ve gözü pek araştırmacı Dr. Lily Houghton (Blunt), Amazon'un tehlikeli ama büyüleyici dünyasında unutulmaz bir yolculuğa çıkıyor. Lily, Londra'dan Amazon ormanlarına uzanan bir keşif için Frank'in külüstür teknesi La Quila ile anlaşır. Amacı, tıp dünyasını değiştirebilecek gizemli bir ağacın sırrını çözmektir. Ancak bu yolculuk, beklediklerinden çok daha tehlikeli olacaktır. Nehrin derinliklerinde, aldatıcı güzelliğe sahip yağmur ormanlarında saklanan doğaüstü tehditlerle karşılaşan ikili, güvenilmez rehberler, ölümcül tuzaklar ve kadim bir efsanenin sırlarıyla yüzleşmek zorunda kalır. Kayıp ağacın gücü ortaya çıktıkça, hem kendi kaderleri hem de insanlığın geleceği tehlikeye girer."
Cehennem Melekleri 3,"Aksiyon, Macera, Gerilim","Barney Ross, Lee Christmas ve ekibi hayatlarının en zorlu mücadelesiyle karşı karşıyalar! Bir zamanlar Barney ile birlikte ekibin kurulmasında rol alan Conrad Stonebanks, şimdilerde silah satıcısı olarak çalışmaktadır ve bu durum ekibin geri kalanını rahatsız eder. Bu nedenle Stonebanks ekibi dağıtmayı kafasına koymuştur. Barney ise karşı bir hamle olarak, yeni ve genç üyelerin de eklendiği ekibini yeniden toplar. Artık ekipmanları ve teknikleri de daha güçlü ve moderndir. Ancak karşılarına çıkacak her türlü kötülüğe tam olarak hazırlıklı mıdırlar?"
Yedek Polisler,"Komedi, Aksiyon, Suç","Highsmith ve Danson şehrin kahraman polisleridir. Ödüllü polisler yalnız şehrin insanları için değil, polis teşkilatının da idolleridir. Dedektif Terry Hoitz ve Adam Gamble ise masa başında evraklara gömülmüş polis memurlarıdır. Günlerini monoton bir şekilde geçiren ortaklardan Terry'nin bu duruma canı sıkılmaya başlar. Herkesin Highsmith ve Danson'a imrenmesine artık katlanamaz. Böylece ortağı Alan'ı da yanına alıp sokaklara çıkmaya ve kendilerinin ne kadar ""sert polisler"" olduğunu kanıtlamaya karar verir. Ancak kafadar polislerin planları bekledikleri gibi işlemez."
Yenilmez 2,"Aksiyon, Suç, Gerilim, Dram","George ""Iceman"" Chambers (Michael Jai White, 7 farklı Karate dalında Siyah kuşak sahibi), ün ve para için dövüşmeye alışmış bir boksördür. Dünya Ağırsiklet Dövüş Şampiyonu olmuştur. Ancak, profesyonel spor hayatı sona erince kendini işsiz ve beş parasız bulur...  Menajerinin Rusya'da bir reklam kampanyasına katılma teklifini kabul eder. George, ne olduğunu bile anlayamadan, kendini Rusya'nın en karanlık ve korkunç hapishanesinde bulur. Hapishane aynı zamanda yenilmez bir dövüşçü olan Yuri Boyka'ya (Scott Adkins) da ev sahipliği yapmaktadır.  Mafya babası Gaga, Boyka ile George'u bir maçta karşı karşıya getirmek ister. George özgürlüğünü kazanmak için katil ruhlu yenilmez Boyka'yı yenmek zorundandır. Bu ringden kim sağ çıkacaktır?"
Küçük Bir Rica,"Gerilim, Suç, Komedi, Gizem","Yoğun bir iş kadını olan Emily Nelson, günün birinde oğlunun okuldan arkadaşının annesi olan vlogger Stephanie Smothers’tan ""küçük bir ricada"" bulunur. İstediği beş yaşındaki oğlunu okuldan almasıdır. Eşini trafik kazası sonucu kaybetmiş ve bu zamandan beri bekar bir anne olarak yaşamını sürdüren Stephanie ricayı yerine getirir ancak Emily'nin beklenmedik bir şekilde ortadan kaybolmasıyla dehşete düşer. Emily’e ulaşmak için telefonlar, mesajlar çare etmeyince Stephanie vlogunun takipçilerini de devreye sokar. Ancak asıl kabus, Stephanie ile Emily’nin kocası Sean’ın endişeli arayışlarının nihayetinde Emily’e ulaştıkları zaman başlayacaktır."
Buz Devri: Buck Wild'ın Maceraları,"Animasyon, Komedi, Aile, Macera","Heyecan arayan sıçan kardeşler Crash ve Eddie kendilerine ait bir yer bulmak için yola çıkar. Ancak onlar kendilerini yerin altındaki devasa bir mağara olan Kayıp Dünya'da kapana kısılmış bir halde bulur. Gelincik Buck Wild tarafından kurtarılan Crash ve Eddie, Kayıp Dünya'yı dinozor egemenliğinden kurtarmak için birlikte harekete geçer."
3 Aptal,"Dram, Komedi","Hindistan’da mühendislik okuyan Farhan, bu bölüme ailesinin zoruyla girmiştir. Farhan'ın asıl arzusu ise fotoğrafçılık eğitimi almaktır. Oda arkadaşı Raju ise fakir bir ailede büyümüş, bir an önce mesleğini eline alıp onlara bakmak için çırpınan bir mühendis adayıdır. Odalarına gelen Rancho (Aamir Khan) ise her ikisinden de tamamen farklı, tuhaf ve bir o kadar da zeki bir çocuktur. Birbirlerinin en yakın arkadaşı haline gelen Farhan, Raju ve Rancho, Rancho’nun içinde bulunduğu okulu ve eğitim sistemini değiştirme çabalarının sonucunda okulun diktatör hocası “Virus”ün görüş alanına girerler. Kendilerine ve tüm okula ilham olan, herkesten farklı düşünen ve sistemi değiştirmenin mümkün olduğunu savunan Rancho, mezun olduktan sonra ortadan kaybolur. Rancho’yu bulmak için yıllar sonra yollara düşen Farhan ve Raju, bu yolculuklarında Rancho’nun şaşırtıcı hikâyesine tanık olacaktır."
Nowhere,"Gerilim, Dram","Distopik bir gelecekte İspanya hükümeti, kaynak yetersizliği nedeniyle çocukları, hamile kadınları ve yaşlıları ortadan kaldırmayı planlar. Hamile olan Mia, bu durumun ardından ülkeden kaçmaya karar verir. Kaçmak için bir konteynerde saklanan Mia, konteyner denize sürüklenince kendisini bir kabusun içerisinde bulur. Okyanusun ortasında tek başına sürüklenen Mia, hem kendi hem kızının hayatını kurtarmak için savaşmak zorundadır."
Zombieland: Çift Vuruş,"Komedi, Korku, Aksiyon","Dünyayı zombilerin istila etmesinin üzerinden on yıl geçmiştir. Bu süre zarfında evrimleşen zombilere karşın hayatta kalmayı başaran Tallahassee, Columbus, Wichita ve Little Rock terk edilmiş Beyaz Saray'a yerleşirler. Ancak bir süre sonra aralarından biri hayatta kalan diğer insanları aramak için kendi yoluna gitmeye karar verince ekip arkadaşlarını bulmak için tekrar yola koyulur."
Zor Ölüm 2,"Aksiyon, Gerilim","Karlı bir Noel akşamında ülkenin başkentindeki en önemli havaalanı bir grup terörist tarafından gasp edilmiş ve birçok yolcu esir alınmıştır. Militan komandolar tarafından oluşan teröristler, tehlikeli ve düzenbaz bir polis memuru tarafından yönetilmektedir. Ve uyuşturucu şebekesinin başındaki birini adaletten kurtarmak için gelirler. Bütün olasılıklara karşı hazırdırlar; yalnızca bir tanesi hariç; John McClaine, ölümcül bir deja vu hissine sahip görev dışında olan bir polis memuru. Havaalanındaki pistler, ölüm ve yıkım ile doludur ve McClane zamanla yarış halindedir. Karısı ise havada dönüp dolaşan ve çok az benzini kalmış bir uçağın içinde kalmıştır."
Korku Kapanı 4: Kanlı Başlangıç,"Korku, Gerilim","Bir grup arkadaş kış tatilleri süresince snowmobiling yapmaya karar verirler. Ancak kış şartlarının etkilediği ortamda fırtınanın etkisiyle yanlış bir dönüş yaparlar ve fırtınada kaybolurlar ve kendilerine sığınabilecekleri bir barınak ararken terk edilmiş bir sanatoryuma rastlarlar. Hava şartları ve fırtınadan korunabildikleri için burayı bulduklarından şimdilik mutludurlar. Fakat sanatoryum sorunlu bir geçmişe sahiptir, eski hastaların bazıları hala orada bulunmaktadır ve davetsiz ziyaretçilerden pek de mutlu olmamışlardır. Kolejli gençler ölümcül kedi-fare oyununda hayatta kalabilmek için gece boyunca savaşmak zorundadır. Hava şartları nedeniyle mahsur kaldıkları bu yerdeki güç gösterisinden sadece kendi fikirleri ile korunabileceklerdir."
Karanlık Şehir,"Gizem, Bilim-Kurgu","John Murdock, bir sabah nasıl geldiğini bilmediği yabancı bir otel odasında uyanır ve vahşice işlenmiş cinayetlerin katili olarak arandığını fark eder. Hafızasını kaybetmiş olduğu için cinayetleri işleyip işlemediğini dahi hatırlıyamamaktadır. Yeraltında yaşayan garip canlılarla karşılaşır. The Strangers olarak tanımlanan, zamanı durdurma ve dünyanın fiziksel yapısını değiştirme gücüne sahip olan bu yaratıklar, direkt olarak insan beynine hakim olabilmekte ve olayları istedikleri şekilde yönlendirebilmektedirler. Bu yaratıkların bir şekilde yokedilmesi gerekmektedir ve bunu yapabilecek tek kişi de Murdocktur. Esrarengiz Dr. Schreber'in yardımıyla bir adım ileri giderek çocukluğundan ve karısı Emma ile ilgili anılardan birşeyler hatırlamaya başlayan Murdock, bu anılar sayesinde suçlandığı cinayetlerle ilgili kendisine yardımcı olacak bir takım ipuçları elde etmeyi başarır."
Müzede Bir Gece: Lahitteki Sır,"Macera, Komedi, Fantastik, Aile","Müzede Bir gece serisinin üçüncü halkasında, kahramanımız Larry New York’dan ayrılarak Londra’ya gider. Görevi varolan bir sihri sonsuza kadar yok olmaktan kurtarmaktır."
Kupa Kızı,Dram,"Bir kadın ergen yaştaki üvey oğlunu baştan çıkartmakla ölümcül sonuçlara yol açabilecek geri dönülmez bir karar vererek hem mükemmel kariyerini hem de ailesini tehlikeye atar. Anne başarılı bir avukattır. Görünüşte her şeye sahip bir kadındır. Peter adında, doktor olan tatlı bir kocası, iyi bir işi, iki güzel kızı ve güzelliklerle dolu doğal bir çevrede geniş, modern ve güzel bir evi vardır. Buna rağmen kocası Peter'in başka bir ilişkiden dolayı sorunlu ergen yaştaki oğlu onlarla birlikte yaşamak üzere evlerine geldiğinde onunla yakın bir ilişki başlatarak mükemmel yaşamını tehlikeye sokar. Başlangıçta üvey oğlu için özgürce bir hareket gücü gibi görünen bu ilişki kısa sürede bu gücün rahatsız edici, ihanet öyküsüne ve yıkıcı sonuçlarının sorumluğuna dönüşür."
Şeytan Ayini,"Korku, Gerilim","Eşinin ölümünü bir türlü atlatamayan Anthony, bir korku filminin başrolüne seçilerek oyunculuk kariyerine geri döner. Ancak çekimler esnasında Anthony'de tuhaf ve rahatsız edici değişiklikler görülmeye başlanır, adeta aklını kaybetmiş gibidir. Kızı, babasındaki bu anormalliği psikolojik rahatsızlık olarak görürken Anthony kendini geri dönülemez, şeytani bir oyunun içinde bulmuştur."
Aynı Yıldızın Altında,"Romantik, Dram","16 yaşındaki Hazel üç yıldır tiroid kanseriyle boğuşmaktadır ve kanser akciğerlerine de sıçradığı için yanında bir oksijen tüpüyle gezmektedir. Kanserli hastalar için oluşturulan destek grubunun bir terapi seansı esnasında Augustus isimli bir gençle tanışır. Augustus da beyin tümörüyle savaşmış ve bu yolda bir bacağını kaybetmiştir. İkili birlikte zaman geçirdikçe birbirlerine aşık olurlar. Akciğer tedavisi için hastaneye yatırılan Hazel'ın yanından bir an dahi ayrılmayan Augustus, sevgilisinin çok istediği bir hayali gerçekleştirmek için onunla birlikte yola çıkar. Planlarına göre Amsterdam'a gidecek ve Hazel'ın en sevdiği yazar olan Peter Van Houten'i bulmaya çalışacaklardır..."
Enola Holmes,"Macera, Gizem, Suç","Nancy Springer’ın “The Enola Holmes Mysteries” adlı kitap serisinden uyarlanan film, ünlü dedektif Sherlock Holmes’un ergen kız kardeşi Enola’nın maceralarını konu ediniyor. 16. doğumgününün sabahında annesinin ortadan kaybolduğunu gören Enola, ağabeyleri Sherlock ve Mycroft’tan yardım ister. Ancak kardeşler onu ciddiye almaz ve yatılı okula göndermeyi planlar. Enola meseleyi kendi eline alır ve annesine ne olduğunu öğrenmek için Londra’ya gider."
Kabuktaki Hayalet,"Bilim-Kurgu, Dram, Aksiyon","Ölümden kurtarılan ve bir cyborg olarak dirilen Binbaşı Kusanagi, siber suçluları avlayan bir görev gücünün lideridir. Ancak bir hacker'ın çok daha büyük planları vardır."
Harry Potter 20. Yıldönümü: Hogwarts'a Dönüş,Belgesel,"Daniel Radcliffe, Emma Watson ve Rupert Grint de olmak üzere tüm ""Harry Potter"" filmlerindan oyuncular, ilk filmin 20. yıldönümünü kutluyor! Pek çok röportajı içeren bu retrospektifte, oyuncular orijinal Hogwarts setinde bir araya gelecek. Ayrıca, geçmiş sekiz filme dair özel detaylara da yer verilecek."
Minik Örümcek Şarlot,"Komedi, Aile, Fantastik","Annesinin bir seferde doğurduğu yavrular arasında en çelimsiz ve ufak tefeği olan küçük domuz Wilbur, Fern adlı küçük bir kız tarafından (Dakota Fanning) kurtarıldıktan sonra çiftlik hayvanlarının en yeni üyesi olur. Wilbur henüz çok küçük ve deneyimsizdir. Bu da çiftlikteki diğer hayvanların onunla dalga geçmesine, alay etmesine yol açar. Küçük Wilbur'daki arkadaşlık potansiyelini sadece çiftlik evinin çatısında yaşayan örümcek Charlotte görebilmektedir.Wilbur ile Charlotte arasında gelişen arkadaşlık, çiftlikteki diğer hayvanların, küçük domuzun günlerinin sayılı olduğunun farkına varmasıyla kalıcı hale dönüşür. Artık Wilbur'un hayatının kurtuluşu mucizelere kalmış gibidir. Ancak Wilbur'un hayatını kurtarmaya kararlı olan Charlotte onu kurtarabilecek bir formül bulur. Çiftçiyi ikna etmek için domuzun barındığı ahırın kapısına Wilbur'un ""kurtarılmaya değer çok özel bir domuz"" olduğunu ağlarını kullanarak yazar."
Argylle: Gizli Casus,"Aksiyon, Macera, Komedi, Gerilim","Hafıza kaybı yaşayan bir romancı, yavaş yavaş hafızasını geri kazanır ve adının Argylle olduğunu, bir zamanlar dünya çapında bir casus olduğunu hatırlar. Bu durumun ardından Argylle, kendisini dünyayı dolaşmasına neden olacak bir maceranın içinde bulur."
Ölümsüz,"Gerilim, Dram, Gizem","Korkunç bir tren kazasından yara dahi almadan kurtulan adam, bir anda insanların ilgi odağı olmuştur. Bu doğaüstü durumun açıklanması, David Dunn (Bruce Willis) adlı kazazedenin kendisi hakkındaki bazı gerçekleri keşfetmesine giden yolu açar. Bunlar olurken David’le tanışmak isteyen bir çizgi roman uzmanının alışılmadık durumla ilgili teorisi, iki adamı birbirine bağlayan garip bir denkleme dayanmaktadır. Altıncı His'le adını duyuran yazar/yönetmen M. Night Shyamalan’dan, Hitchcock tatları da barındıran bir gerilim/bilimkurgu…"
Zor Ölüm 3,"Aksiyon, Gerilim","Dedektif John McClane herşeyi görüp geçirdiğini sanmaktadır. Artık New York'tadır ve kendini güvencede hissetmektedir. Hayatında karşılaştığı en son olağanüstü düşmanıyla karşı karşıya gelmeyi beklediği en son yer New York'tur. Ama Simon adındaki bir dahi, McClane ve New York şehrini çok tehlikeli bir oyunun içine itmek üzeredir. McClane yeterince kötü günler geçirmiştir ama Simon'a göre geçireceği kötü bir gün daha vardır..."
Uzay Yolcuları,"Dram, Romantik, Bilim-Kurgu","Starship Avalon adlı uzay gemisi, Homestead II adında çok uzak bir koloniye 5000'den fazla kişiyi götürmek üzere, 120 yıl sürecek bir yolculuk yapmaktadır. Giden kişiler bu yolculuk sonunda sağlıklı bir şekilde hayatlarına devam edebilmek için özel tasarlanmış ""uyku kapsüllerinde"" uyutulmaktadırlar. Ancak yaşanan teknik bir sorun nedeniyle iki kapsül vaktinden önce açılır, birinde makine mühendisi Jim Preston (Chris Pratt), diğerinde ise yazar Aurora Lane (Jennifer Lawrence) bulunmaktadır. Gemide bir başlarına kalan ikilinin önünde, hala 90 yıllık bir yol vardır."
Ölümsüz,"Gerilim, Dram, Gizem","Korkunç bir tren kazasından yara dahi almadan kurtulan adam, bir anda insanların ilgi odağı olmuştur. Bu doğaüstü durumun açıklanması, David Dunn (Bruce Willis) adlı kazazedenin kendisi hakkındaki bazı gerçekleri keşfetmesine giden yolu açar. Bunlar olurken David’le tanışmak isteyen bir çizgi roman uzmanının alışılmadık durumla ilgili teorisi, iki adamı birbirine bağlayan garip bir denkleme dayanmaktadır. Altıncı His'le adını duyuran yazar/yönetmen M. Night Shyamalan’dan, Hitchcock tatları da barındıran bir gerilim/bilimkurgu…"
Zor Ölüm 3,"Aksiyon, Gerilim","Dedektif John McClane herşeyi görüp geçirdiğini sanmaktadır. Artık New York'tadır ve kendini güvencede hissetmektedir. Hayatında karşılaştığı en son olağanüstü düşmanıyla karşı karşıya gelmeyi beklediği en son yer New York'tur. Ama Simon adındaki bir dahi, McClane ve New York şehrini çok tehlikeli bir oyunun içine itmek üzeredir. McClane yeterince kötü günler geçirmiştir ama Simon'a göre geçireceği kötü bir gün daha vardır..."
Uzay Yolcuları,"Dram, Romantik, Bilim-Kurgu","Starship Avalon adlı uzay gemisi, Homestead II adında çok uzak bir koloniye 5000'den fazla kişiyi götürmek üzere, 120 yıl sürecek bir yolculuk yapmaktadır. Giden kişiler bu yolculuk sonunda sağlıklı bir şekilde hayatlarına devam edebilmek için özel tasarlanmış ""uyku kapsüllerinde"" uyutulmaktadırlar. Ancak yaşanan teknik bir sorun nedeniyle iki kapsül vaktinden önce açılır, birinde makine mühendisi Jim Preston (Chris Pratt), diğerinde ise yazar Aurora Lane (Jennifer Lawrence) bulunmaktadır. Gemide bir başlarına kalan ikilinin önünde, hala 90 yıllık bir yol vardır."
Hitman,"Aksiyon, Gerilim, Dram","Son yılların gözde bilgisayar oyunlarından Hitman'ın sinema uyarlaması olan filmin kahramanı Ajan 47, profesyonel bir tetikçi olmak için eğitilmiştir ve en güçlü silahları, agresif yapısı ile işindeki kararlılığıdır. Bu kez Ajan 47, tuzağa düşürülmüştür ve Doğu Avrupa'da kendisini oyundışı bırakmak isteyenleri ve bunun sebeblerini ararken Interpol ve Rus Ordusu da 47'nin peşindedir."
Upgrade,"Aksiyon, Gerilim, Bilim-Kurgu","Eşiyle birlikteyken acımasızca saldırıya uğrayan Grey Trace, karısını saldırıda kaybetmenin yanı sıra belden aşağı da felç olmuştur. Günün birinde bir milyarder mucitten bedenini geliştirecek deneysel bir tedavi teklifi alır. Tedavi için Trace'in bedenine STEM olarak adlandırılan yapay zeka implantı yerleştirilir. Tedavi ile insanüstü yetenekler kazanan Trace, karısını öldüren ve kendi hayatını mahveden kişilerden intikam almak için yola koyulur..."
Örümcek Adam 2,"Aksiyon, Macera, Bilim-Kurgu","Sevgilisi Mary Jane'den ayrılan Peter ona gerçek kimliğini açıklayıp açıklamamak arasında kaldığı için oldukça zor bir dönem geçirmektedir. kararsızlık içine düştüğü bu esnada Mary Jane'in, patronun oğlu John'la birlikte olmaya başlaması iyice canını sıkar. Bunlara, halasının mali sıkıntıları ve hayattaki tek dostu Harry Osborne'un, babasının ölümünden kendisini sorumlu tuttuğu için Peterdan uzaklaşması onu depresyonun eşiğine getirmiştir. Bu esnada, yeni düşmanı Doktor Ahtapot'un ortaya çıkmasıyla Peter Parker'ın hayatı içinden çıkılmaz bir hal alacaktır."
Gökteki Kale,"Macera, Fantastik, Animasyon, Aksiyon, Aile","Özel olarak görevlendirilmiş bir devlet kuruluşu tarafından hava gemisinde esir tutulan kız Sheeta, geminin korsanlar tarafından saldırıya uğradığı anda bir fırsatını bulup kaçmaya kalkar ama gemiden aşağıya düşer. Bulutlar arasında hızla düşerken, bilincini kaybeden Sheeta'nın boynundaki mavi taşlı kristal bir kolye ansızın çevreye ışık saçar ve Sheeta bu mavi taş sayesinde yavaşça yere doğru inmeye başlar. Maden kasabasında işçi olarak çalışan Pazu adlı bir çocuk, gökyüzünden iniş yapan Sheeta'yı tesadüfen görerek kurtarır ve kendi evinde saklar… İki çocuk bundan sonra, gökte uçan ""Laputa"" adlı efsanevi son kaleyi bulmak ve kötülerin oyununu bozmak zorundadırlar."
Kaya,"Aksiyon, Macera, Gerilim","Bir grup asi deniz komandosu, kimyasal silahlarla birlikte Alcatraz adasını ele geçirir ve turistleri rehin alırlar. Liderleri, eski bir savaş kahramanı olan bir generaldir. Gizli operasyonlarda ölen askerlerin ailelerine ödenmek üzere 100 milyon dolar fidye isterler. Aksi takdirde San Fransisco körfezini kimyasal silahlarla bombalayacaklardır. Onları durdurabilecek iki kişi, Alcatraz'dan kaçabilmiş tek mahkum ve bir kimyasal silah uzmanı zamana karşı ölümcül bir mücadeleye girişirler."
Gezegenler Savaşı,"Bilim-Kurgu, Aksiyon, Macera","Yakın gelecekte, güneşin hızla yanmakta olduğunu ve bu süreçte Dünya'yı yakında yok edeceğini öğrendikten sonra insanlar, gezegeni güneşin ateşli parlamalarının çok uzağına, yeni bir güneş sistemine itmek için devasa motorlar yaparlar. Bununla birlikte, evrene yolculuk tehlikelidir ve insanlığın hayatta kalması için son şansı, dünyayı kurtarmak için tehlikeli bir ölüm kalım operasyonunu gerçekleştirecek kadar cesur bir grup gence bağlı olacaktır."
Kalp Bilir,"Romantik, Dram","Kalp nakli ameliyatının ardından kişiliğinin değiştiğini hisseden Manuel, donörünün hayatını araştırırken onun dul eşi Vale ile ve kadının yakın çevresiyle tanışır."
Bebek Firarda,"Komedi, Macera, Aile, Suç, Dram",Üç beceriksiz fidyeci tarafından kaçırılan şirin bir bebeğin başından geçen komik olayları anlatan enfes bir komedi. Birilerinin bebekleri koruduğu kesin!
Evim,"Fantastik, Komedi, Animasyon, Bilim-Kurgu, Aile","Kendi halkı tarafından kovalanan ve peşindeki düşmanlardan kurtulabilmek için Dünya'da bir yerlerde saklanmaya karar veren Of, bu gezegende güvende olacağına inanmaktadır. Fakat Of, peşindeki düşmanlara yanlışıkla saklandıkları yeri ifşa edince büyük bir karmaşa başlar ve sevimli uzaylı dostumuz tek çareyi bir genç kızdan yardım almakta bulur. Şimdi her ikisini de, dünyanın etrafında dolaşacakları son derece eğlenceli ve renkli bir yolculuk beklemektedir.Hem Of hem de kısa sürede kendisiyle dostluk kuran Lüle;farklı olmanın ve hatalar yapmanın insanlığın bir parçası olduğunu anlayacaklardır. Her ikisi de kendi dünyalarına ait olmayan yabancılar konumuna düştükten sonra, kendilerini biraz daha tanıma ve yüzleşme fırsatı bulurlar."
Sosyete Polisi: Axel F,"Aksiyon, Komedi, Suç","Detroitli polis Axel Foley, Beverly Hills'teki unutulmaz ilk vakasından kırk yıl sonra, en iyi yaptığı işe yani suçları çözmeye ve kargaşa çıkarmaya geri döner."
Ben Hur,"Tarih, Dram, Macera, Aksiyon",Judah Ben Hur zengin yahudi bir prenstir. Bir gün çocukluk arkadaşı Messela ile buluşup konuşurlar ve hasret giderirler. Bu konuşmaların sonunda iki taraf siyasi fikirlerini ortaya döktüklerinde tartışmaya başlarlar. Ben Hur arkadaşına hiç bir koşulda destek vermeyeceğini söyler. Bunun üzerine arkadaşı Messela onu kürek mahkumu olarak sürgüne gönderir. Zengin hayatına veda eden prens bu olay üzerine intikam yemini edecektir.
Barbie & Teresa: Recipe for Friendship,"Animasyon, Aile, Komedi",Teresa kuzeninin New York'taki restoranının açılışı için ailece sevdikleri bir Meksika yemeğini hazırlamaya çalışırken arkadaşları ona yardımcı olur.
Birlik,"Aksiyon, Komedi","Uzun süredir görüşmediği lise aşkı tarafından bir casusluk görevine sürüklenen New Jerseyli inşaat işçisi, sıradan bir adamken gelecek vadeden bir casusa dönüşür."
Birlik,"Aksiyon, Komedi","Uzun süredir görüşmediği lise aşkı tarafından bir casusluk görevine sürüklenen New Jerseyli inşaat işçisi, sıradan bir adamken gelecek vadeden bir casusa dönüşür."
Otomatik Portakal,"Bilim-Kurgu, Suç","Alex (Malcolm McDowell), huzur dolu fütürist evinde tüm gün uyuyan ve de geceleri arkadaşları ile masum insanlara sokaklarda ve evlerinde saldıran acımasız genç bir hayduttur. Sonunda polis tarafından yakalanınca Alex rehabilitasyona gönderilir. Bu istek azaltma formunda olan rehabilitasyonda yaptıklarının kat ve kat fazlası şiddet içeren ve insanı dehşete düşüren bir zaman geçirir."
Tinker Bell ve Canavar Efsanesi,"Macera, Animasyon, Aile",Tinkerbell ve arkadaşları her zaman ki gibi neşeli hayatlarına devam etmektedirler. Fakat yakın zamanda korkunç bir canavar evlerini tehdit etmektedir. Canavarı oradan göndermek için çok uğraşacaklardır. Fawn perileri cesaretlendirerek korkmamalarını sağlar. Ama bu yaratık gerçekten düşündükleri kadar korkunç ve tehlikeli midir?
Suikast,"Aksiyon, Suç, Gerilim","Steve tarafından öldürülmekten kurtulan Arthur Bishop, tetikçiliği bırakmış ve Rio de Janeiro’da Otto Santos ismi ile gizlenmektedir. Ancak sevgilisi Gina, güçlü ve tehlikeli bir adam tarafından kaçırılınca, onun hayatını kurtarabilmek için eski işine geri dönmek zorunda kalır. Görevi, dünyanın farklı yerlerindeki birbirinden zor suikastleri gerçekleştirmek ve onlara kaza süsü vermektir."
Hulk,"Bilim-Kurgu, Macera, Aksiyon","Çok gizli bir askeri proje, bazı dahi öğrencilerin de yardımıyla test aşamasına gelmiştir. Projenin başında Bruce Banner görev almaktadır. Test sırasında bir kaza olur ve Banner, tehlikeli Gama ışınlarına maruz kalır. Yoğun ışın yüzünden mutasyon geçiren Banner, sinirlendiği zaman yıkıcı güçlere sahip yeşil bir deve dönüşen yeni bir kişiliğe bürünür. Bruce Banner olarak yaşamını sürdürmeye çalışsa da, zaman zaman kontrolden çıkan bir yaratığa dönüşmesi çok karmaşık ve trajik olayların yaşanmasına sebep olacaktır. Asıl soru, Hulk adı verilen korkutucu görüntüsüne rağmen yeşil devin, güçlerini kötülere karşı kullanarak kahramanlaşmasına rağmen yanlış anlaşılıp anlaşılmayacağıdır."
Paralel Evren,"Gerilim, Bilim-Kurgu","Alışılagelmedik bir astronomik olayın meydana geleceği gece, sekiz arkadaş, doğa kanunlarına meydan okuyan, bir dizi sıkıntı verici olaya tanık olacaklardır."
